Time,Load
1040.000003,9.36E+13
1040.0004,9.36E+13
1040.000403,0
1045,0
1045.000003,9.36E+13
1045.0004,9.36E+13
1045.000403,0
1050,0
1050.000003,9.36E+13
1050.0004,9.36E+13
1050.000403,0
1055,0
1055.000003,9.36E+13
1055.0004,9.36E+13
1055.000403,0
1060,0
1060.000003,9.36E+13
1060.0004,9.36E+13
1060.000403,0
1065,0
1065.000003,9.36E+13
1065.0004,9.36E+13
1065.000403,0
1070,0
1070.000003,9.36E+13
1070.0004,9.36E+13
1070.000403,0
1075,0
1075.000003,9.36E+13
1075.0004,9.36E+13
1075.000403,0
1080,0
1080.000003,9.36E+13
1080.0004,9.36E+13
1080.000403,0
1085,0
1085.000003,9.36E+13
1085.0004,9.36E+13
1085.000403,0
1090,0
1090.000003,9.36E+13
1090.0004,9.36E+13
1090.000403,0
1095,0
1095.000003,9.36E+13
1095.0004,9.36E+13
1095.000403,0
1100,0
1100.000003,9.36E+13
1100.0004,9.36E+13
1100.000403,0
1105,0
1105.000003,9.36E+13
1105.0004,9.36E+13
1105.000403,0
1110,0
1110.000003,9.36E+13
1110.0004,9.36E+13
1110.000403,0
1115,0
1115.000003,9.36E+13
1115.0004,9.36E+13
1115.000403,0
1120,0
1120.000003,9.36E+13
1120.0004,9.36E+13
1120.000403,0
1125,0
1125.000003,9.36E+13
1125.0004,9.36E+13
1125.000403,0
1130,0
1130.000003,9.36E+13
1130.0004,9.36E+13
1130.000403,0
1135,0
1135.000003,9.36E+13
1135.0004,9.36E+13
1135.000403,0
1140,0
1140.000003,9.36E+13
1140.0004,9.36E+13
1140.000403,0
1145,0
1145.000003,9.36E+13
1145.0004,9.36E+13
1145.000403,0
1150,0
1150.000003,9.36E+13
1150.0004,9.36E+13
1150.000403,0
1155,0
1155.000003,9.36E+13
1155.0004,9.36E+13
1155.000403,0
1160,0
1160.000003,9.36E+13
1160.0004,9.36E+13
1160.000403,0
